title,projectUrl,acronym,return_code,redirect_url
MULTILINGUAL DOCUMENT PROCESSING,http://www.iai.uni-sb.de/MULTIDOC/,MULTIDOC,403,
Word class performance for wire drawing through improved quality of the manufacturing process,http://wireman.goitaly.it,WIREMAN,timed out,
Applications professionelles sur ATM,http://cisi.it/public/apat/apat.htm,APAT,403,
High voltage network information exchange for planning and analysis,http://www.bertin.fr/~azarian/electronet.html,ELECTRONET,404,
Methods and tools for natural-language interfacing to standard software applications,http://www.anite-systems.lu/melissa,MELISSA,[Errno -2] Name or service not known,
Constructing a geometric algorithms library,http://www.cs.ruu.nl/CGAL/,CGAL,[Errno -2] Name or service not known,
"Migration, distribution and spatial dynamics of plaice and sole in the north sea",http://www.bio.uea.ac.uk/Fish/welcome.htm,,404,
VALIDATION OF A MULTIMEDIA TITLE SERIES PRODUCTION METHODOLOGY,http://www.cti.gr,VALMMETH,303,http://www.cti.gr/el/
ADAPTING MAGNETO-TELLURIC (MT) GEOPHYSICS SYSTEMS TO MEASURE HIGH FREQUENCY RANGES FOR ENVIRONMENTAL INVESTIGATION,http://www.metronix.de,ENVIRO-MT,200,
INTEGRATION OF LP SCHEDULING DECISION INTO AN EXISTING CAD PACKAGE FOR MINE - PLANNING AND ENVIRONMENTAL MODELLING,http://www.tu-berlin.de/~bg/projects/lp-sched.htm,,404,
BENCHMARK TOOL TO IMPROVE PRODUCTION PERFORMANCE,http://bettibench.com,BETTI,[Errno -2] Name or service not known,
STRATEGIC PROJECT MANAGEMENT FOR PRODUCT INNOVATION,http://www.chalice.co.uk,PROMISE,200,
HIGH RESOLUTION LASER DOPPLER PERFUSION IMAGING IN DERMATOLOGY,http://www.imt.liu.se,HIRE LADO,200,
TECHNOLOGY VALIDATION OF THE MECHANICAL RELIABILITY TOOLKIT,http://www.bertin.fr/~eyraud@/merit.html,MER-TV,404,
European fish ageing network,http://www.efan.no,EFAN,200,
Language and image data fusion using stochastic models and spatial context modelling,http://www.limsi.fr/Chameleon,CHAMELEON,302,https://www.limsi.fr/fr/?option=com_content&view=article&id=403
Intelligent 3D Design and Simulation System for the Clothing Industry,http://www.univ-valenciennes.fr/LGIL/mascot/,,404,
Reduction of Time-to-Market for Machine Tools with Computer Aided P rototyping through Solid Modeller,http://www.iwb.tum.de/projekte/matcap,MATCAP,404,
Hydrology of alpine and high latitude basins,http://bamboo.mluri.sari.ac.uk/hydalp/hydalp-home.html,HYDALP,[Errno -2] Name or service not known,
Application of space techniques to the integrated management of a river basin water resources,http://www.geosys.es/proyectos/astimwr/astitext.htm,ASTIMWR,404,
Intelligent information interfaces network,http://www.eace-project.org/index.jsp,I3NET,[Errno -2] Name or service not known,
Multimedia action groups network (extension),http://www.magnet.org/magnet.html,MAGNET,200,
Sea300,http://www.ebl.rl.ac.uk/sea.html,SEA300,timed out,
Bright-red surface emitting lasers,http://nmrc.ucc.ie/projects/bredsels/,BREDSELS,404,
Parallel petscan system,http://www.brunel.ac.uk/~masrppet,PARAPET,404,
Thematic indexing of spoken language,http://www.dcs.shef.ac.uk/research/groups/spandh/projects/thisl/,THISL,404,
Exploiting real time animation specification for traditional animation,http://www.edm.luc.ac.be/erasta,ERASTA,[Errno -2] Name or service not known,
Centres of multimedia promotion and support services for textile & clothing,http://www.textile.org/compass,COMPASS,404,
Multimedia European network of high quality image registration,http://www.club-internet.fr/mol,MENHIR,301,https://www.sfr.fr/sfr-et-moi.html
Creating a solid configuration-and test-management infrastructure to improve the team development of critical software systems,http://www.bepress.com/cas/vol3/iss1/art5/,CONFITEST,503,
Voice variability in speaker verification,http://www.speech.kth.se/~inger/verivox.html,VERIVOX,403,
Working group on intelligent manufacturing systems,http://www.mech.kuleuven.ac.be/pma/project/imswg/welcome.html,IMS-WG,302,http://www.mech.kuleuven.be/imswg/welcome.html
Information technology European awards,http://arch.her.hcmr.gr/enviefh/,ITEA 96,200,
Power optimization and simulation: efficient strategies in deep sub micron CMOS,http://eis.informatik.uni-oldenburg.de/poseidon,POSEIDON,404,
Fuzzy algorithms for the control of multi-input multi-output processes,http://iridia.ulb.ac.be/FAMIMO,FAMIMO,404,
Nanofabrication of strongly gain coupled lasers for high speed communication and sensor applications,http://www.physik.uni-wuerzburg.de/TEP/nanolase/nanolase.htm,NANOLASE,404,
Multi-site computing,http://www.daucom.es,MSC,200,
Microsystems based visual prosthesis,http://www.dice.ucl.ac.be/biomed/mivip,MIVIP,[Errno -2] Name or service not known,
Perdis: a persistent distributed store for co-operative applications,http://www.perdis.esprit.ec.org/,PERDIS,302,http://boise.namedisplay.com/wp-signup.php?new=www.perdis.esprit.ec.org
Network application and dissemination expertise,http://www.netapdex.infowin.org/,NETAPDEX,200,
Synchronous reactive formalisms,http://www.imag.fr/VERIMAG/SYNCHRONE/SYRF/syrf.html,SYRF,302,http://www-verimag.imag.fr/PROJECTS/SYNCHRONE/SYRF/syrf.html
Manufacturing control systems capable of managing production change and disturbances - an application of autonomous co-operating agents,http://www.mech.kuleuven.ac.be/pma/project/mascada/welcome.html,MASCADA,302,http://www.mech.kuleuven.be/mascada/welcome.html
Computer-based assistance to maintenance tasks,http://www.vega.de/projects/assist,ASSIST,302,http://www.telespazio-vega.de/EN/Pages/default.aspx
Low cost mpeg-2 video production system,http://www.ndmack.demon.co.uk/viper.htm,VIPER,[Errno -2] Name or service not known,
"Integrated system for multimedia indexing, equiparation and rights protection",http://www.sag.es/products/ppaa/imdex/imdex_en.htm,IMDEX,404,
The multispace project for quality in multimedia products,http://www.brameur.co.uk/qpi/multispace,MULTISPACE,200,
Mpeg-4 system implementation and tools for personal computers,http://www.q-team.de/mpeg4/mpeg4pc.htm,MPEG-4 PC,302,http://www.q-team.de/de/
Model-based system for analysing environmental economics of industrial decision making,http://www.visolutions.fi,ENVIROMEND,[Errno -2] Name or service not known,
European network in language and speech,http://www.elsnet.org/,ELSNET-2,200,
Quantum devices for advanced nano-electronic technology,http://quadrant.iet.unipi.it/,QUADRANT,[Errno -2] Name or service not known,
Application development for the distributed enterprise,http://www.fast.de/ADDE/,ADDE,404,
Quantum electronics using scanning tunnelling microscopy based lithography,http://www.isen.fr/isen-lci/quest,QUEST,200,
Debugging systems for constraint programming,http://discipl.inria.fr/,DISCIPL,[Errno -2] Name or service not known,
High performance banking,http://www.co.umist.ac.uk/Comp-ISG/ISE-Projects/Hyperbank.html,HYPERBANK,[Errno -2] Name or service not known,
Simulation environment for the evaluation of distributed traffic control systems,http://www.lti.alenia.it/ep/seeds.html,SEEDS,[Errno -2] Name or service not known,
Electromagnetic product optimisation using computers with high performance,http://www.comlab.ox.ac.uk/oucl/oxpara/epoch/home.htm,EPOCH,404,
Fabrication of elementary molecular electronic devices,http://inn7201.casaccia.enea.it/morales/lasmeds10.html,LASMEDS,timed out,
Application of advanced software technologies to the optimization of power generation plants,http://www.uitesa.es/topgen,TOPGEN,[Errno -2] Name or service not known,
Windows based parallel computing,http://www.genias.de/projects/winpar/index.html,WINPAR,404,
A distributed pharmaceutical applications server,http://www.uni-paderborn.de/pc2/projects/phase,PHASE,404,
Network of excellence on superconductivity,http://orchidea.maspec.bo.cnr.it/homepage.html,SCENET,[Errno -2] Name or service not known,
Design by simulation and rendering on parallel architectures ii,http://www.mentalimages.com,DESIRE II,301,http://www.nvidia-arc.com/index.php
Multi-disciplinary engineering design via unitary software applications,http://www/telecall.co.uk/~srcbae/medusa,MEDUSA,[Errno -2] Name or service not known,
Efficient handling of large matrices on high parallel computer systems with the Permas code,http://www.intes.de/parmat.html,PARMAT,404,
Optimizing compilers for embedded applications,http://www.wi.leidenuniv.nl/Oceans/,OCEANS,404,
Conductive characteristics and mass fabrication of nanoscale integrated circuit nanowires,http://www.zurich.ibm.com/pub/Other/Pronano/,NANOWIRES,301,http://www.research.ibm.com/labs/zurich/
Object oriented and automated design and management of tools and manufacturing components,http://www.ait.org.uk/,ODEM,200,
Corba validation,http://www.opengroup.org/public/corval/,CORVAL,404,
Scientific computing and algebraic abstractions,http://www.ii.uib.no/saga,SAGA,301,http://www.ii.uib.no/saga/
Randomized algorithms,http://cs.uni-bonn.de/info5/projects/rand-rec-en.html,RAND2,301,http://theory.cs.uni-bonn.de/info5/projects/rand-rec-en.html
Innovative signal processing exploiting chaotic dynamics,http://vdp.ucd.ie/research/INSPECT.html,INSPECT,[Errno -2] Name or service not known,
Kaizen information system and management support,http://www.txt.it/txtii-eng/sia/kiss.html,KISS,404,
Co-operative evaluation and dissemination of user group requirement by a European technology transfer and education network,http://www.lar.ee.upatras.gr/comind/index.html,CO-MIND,404,
Strategic research network systems for multimedia mobile computing,http://www.ele.kth.se/~taw,MEDIA,[Errno -2] Name or service not known,
Computational understanding of multiple images,http://www.inrialpes.fr/cumuli,CUMULI,404,
Visual intelligent recognition for secure banking services,http://www.dist.unige.it/virsbs/home-a.htm,VIRSBS,404,
Production planning and management in an extended enterprise,http://www.uninova.pt/~prodnet,PRODNET-II,404,
European framework initiative,http://www.nimblesite.com/euroframe,EUROFRAME,302,https://www.hugedomains.com/domain_profile.cfm?d=nimblesite&e=com
Advanced man-machine interfaces for robot system applications,http://www.cee.etnoteam.it/amira/,AMIRA,[Errno -2] Name or service not known,
Electronic data interchange for the European maritime industry,http://www.biba.uni-bremen.de/projects/edimar,EDIMAR,301,http://www.biba.uni-bremen.de/projects/edimar/
Mechanism for enabling HPCN technology transfer in Europe 1,http://www.hpcn-ttn.org,METIER1,403,
Mechanism for enabling HPCN technology transfer in Europe 2,http://www.hpcn-ttn.org,METIER2,403,
Novel approaches to Finnish industrial computing,http://www.csc.fi/ttn,FINNOVA,404,
Best practice for information technology in the textile industry,http://www.eurabxl.com/,BIT,[Errno -2] Name or service not known,
Application of new technologies in the field of CAD/CAM and rapid prototyping within the toys sector,http://www.dip-alicante.es/cenj/aiju.htm,TOYS-CIM,404,
MMP system for simulated nmr data analysis,http://www.rebeca-net.de,FAST-SIM,200,
Effectiveness in the virtual enterprise through the information infrastructure,http://net.onion.it/event/,EVENT,404,
Silicon quantum integrated circuits,http://www.sp.phy.cam.ac.uk/~dp109/SIQUIC.html,SIQUIC,404,
Exploiting HPCN in an engineering consultancy environment,http://www.man.ac.uk/MVC/research/RCNET/rcnet/,RCNET,404,
Technology transfer node Thuringia,http://www.tzm.de,TTN-T,200,
Nodo di transferimiento tecnologico a sistemi di operatori del manifatturiero e dei servizi,http://www.notsomad.org,NOTSOMAD,[Errno -2] Name or service not known,
Swedish HPCN technology transfer node at PDC,http://www.pdc.kth.se/pdcttn,PDC TTN,404,
Technology transfer node of machine vision in Finland,http://www.vtt.fi/ttn,TTNMV-SF,404,
Exploitation of synergies and co-operative actions leading to accelerated take-up and effectiveness,http://www.pac.soton.ac.uk/escalate.html,ESCALATE,[Errno -2] Name or service not known,
Irish centre for proactive transfer of advanced computing,http://www.icetact.tcd.ie,ICETACT,[Errno -2] Name or service not known,
CD-ROM embedded auditing tool and educational material,http://www.ime.nl/create,CREATE,404,
Intelligent actuation and measurements-pilot,http://www.pea.enel.it,IAM-PILOT,[Errno -2] Name or service not known,
Opportunities for re-engineering business processes through advanced it,http://www.prima-europe-wkshp.com/,ORBIT,[Errno -2] Name or service not known,
The Coulomb Blockade Applied to the Realisation of Electronics,http://qt.tn.tudelft.nl/CHARGE/,CHARGE,404,
An inspection technology transfer node,http://www2.y-net.gr/inno/,INNO,[Errno -2] Name or service not known,
Integrated modular solution for handling of flexible materials in an industrial environment,http://wwwipr.ira.uka.de/~paro/HANDFLEX/,HANDFLEX,404,
Biology and management in the control of lice on fish farms,http://www.ecoserve.ie/projects/sealice/,,200,
Commercial fish and European estuaries - priorities for management and research,http://www.hull.ac.uk/iecs/,,301,http://www2.hull.ac.uk/science/error404.htm?aspxerrorpath=/science/iecs.aspx/
"The influence of competitive interactions on the abundance of early benthic stage European lobster (Homarus gammarus (l.)), and hence on the carrying capacity of lobster habitat",http://www.anzwers.org/trade/lear/index.htm,LEAR (1),200,
Safer and ecologically sound roadside safety systems through novel design with advanced polymeric composite,http://www.clc.tno.nl/projects/recent/ecosafe,ECOSAFE,[Errno -2] Name or service not known,
Standard software infrastructure for SCI-based parallel systems,http://www.dolphinics.no,SISCI,200,
Redistribution and activation phenomena in integrated circuit and device manufacturing,http://www.leb.e-technik.uni-erlangen.de/forsch/techsim/rapid1.html,RAPID,404,
Verifying industrial reactive systems,http://radon.ics.ele.tue.nl/~vires/,VIRES,[Errno -2] Name or service not known,
Dynamic task migration execution environment,http://www.esi.fr,DYNAMITE,[Errno -2] Name or service not known,
Fortran integrated tool set,http://www.vcpc.univie.ac.at/activities/projects/FITS,FITS,301,http://www.vcpc.univie.ac.at/activities/projects/FITS/
Image processing operations for forensic support,http://www.esat.kuleuven.ac.be/~konijn/improofs.html,IMPROOFS,301,http://homes.esat.kuleuven.be/~konijn/improofs.html
Multimedia educational innovation network,http://www.lrf.gr/menon,MENON,404,
Software automated testing in a real time environment,http://en.wikipedia.org/wiki/Askja,SWAT,301,https://en.wikipedia.org/wiki/Askja
Feature integration in requirements engineering,http://www.cs.bham.ac.uk/~mcp/fireworks/,FIREWORKS,404,
Computer algebra tools for handling ordinary differential equations,http://www-lmc.imag.fr/cathode2,CATHODE 2,404,
Working group in neuroinformatics and computational neuroscience,http://neuropeline.forwiss.tu-muenchen.de/wg.html,NEURO,[Errno -2] Name or service not known,
High brightness and novel waveguide laser diodes for information technology,http://www.femipol.uni-frankfurt.de,TRUE-BLUE,200,
Design framework for interactive story systems,http://www.dsclab.ece.ntua.gr/~defacto/default.htm,DEFACTO,200,
Miniaturized robot for micro manipulation,http://wwwipr.ira.uka.de/~santa/microrob.html,MINIMAN,404,
Spoken language dialogue systems and components - best practice development and evaluation,http://www.dit.ou.dk,DISC,302,http://www.sdu.dk/Om_SDU/Fakulteterne/Teknik.aspx
Traineeship for electronic publishing,http://www.y-net.gr/archimed,TREP,[Errno -2] Name or service not known,
Collaborative automotive network,http://www.expertel.fr/CANET/,CANET,[Errno -2] Name or service not known,
European multimedia educational software network,http://www.ermesnet.org/,ERMES,[Errno -2] Name or service not known,
Multimedia support network for fashion and style,http://www.modatrend.com,MULTIFAST,Server Error,
STATE OF THE EARTH,http://www.cat.dk/earth,SOE,404,
IN-LINE PROCESS FOR THE ELECTROPICKLING OF STEEL WIRE ROD BY INTEGRATED RECYCLING MACHINE,http://www.otomec.it,,200,
INTEGRATED OPTICAL SENSOR FOR TRAFFIC LIGHT CONTROLLER,http://www.imec.be/bo/cmos/watchbird.html,WATCHBIRD,404,
Foundations of data warehouse quality,http://www.dbnet.ece.ntua.gr/~dwq/,DWQ,200,
High-performance computing and networking for technological and environmental risk management,http://www.ess.co.at/HITERM/,HITERM,200,
High performance parallel computing for medium sized retailers,http://137.251.53.228/hpretail/,HP-RETAIL,timed out,
Magnetic switching in submicron dots,http://homer.phy.cam.ac.uk/TFM_Home.html,MASSDOTS,[Errno -2] Name or service not known,
Applications of graph transformation,http://www.informatik.uni-bremen.de/grp/ag-ti/appligraph/home.html,APPLIGRAPH,302,http://www.informatik.uni-bremen.de/theorie//appligraph/home.html
It tools for the manufacturing supply chain integration in the virtual corporation,http://www.carsa.es/car/virtualq/virtualq.htm,VIRTUALQ,404,
"Centre for accessing HPCN best practice information, technology and application environments",http://www.eurofast.de/ttn/,CAPRICE,404,
CEPBA-TTN,http://www.cepba.upc.es/ttn,CEPBA-TTN,[Errno -2] Name or service not known,
Danish HPCN technology transfer node,http://www.danhit.dk,DANHIT,[Errno -2] Name or service not known,
Economic design and construction with light weight aggregate concrete,http://www.sintef.no/bygg/sement/elcon,,404,
Financial assistance for transport integration in metropolitan areas,http://www.its.leeds.ac.uk/projects/fatima,FATIMA,301,http://www.its.leeds.ac.uk/projects/fatima/
Electronic landscapes,http://escape.lancs.ac.uk,ESCAPE,timed out,
Ocean Margin Exchange II - Phase II,http://www.nbi.ac.uk/bodc/omex.html,OMEX II-II,404,
The establishment of an agricultural multimedia network,http://www.agrimmedia.org/,AGRIMMEDIA,[Errno -2] Name or service not known,
Model based and qualitative reasoning systems network,http://monet.aber.ac.uk/,MONET,timed out,
Reconfigurable optical processing for training and execution of large scale neural networks,http://www.cs.may.ie/staff/jkeating/,ROPE,404,
Modelling evaluating and formalising interactive systems using tasks and interaction objects,http://giove.cnuce.cnr.it/mefisto.html,MEFISTO,200,
"Electronic arenas for culture, performance, arts and entertainment",http://www.nada.kth.se/erena/,ERENA,200,
Populating inhabited information spaces,http://www.3dscanners.com,POPULATE,302,http://ww1.3dscanners.com/
Personalised and social navigation,http://www.sics.se/humle/projects/persona/web/index.html,PERSONA,404,
Sistema basico para patronaje de calzado,http://www.inescop.es,SIPECO,200,
Trans-European information dissemination on maritime industry related ICT projects,http://www.balance-bremen.de/marexpo,MAREXPO,404,
Working group on quality and information technology,http://www.produtec.de/r&d/q+it2,Q+IT2,404,
Graphical event driven interface specification and compilation,http://www.elet.polimi.it/people/crespi/gedisac.html,GEDISAC,404,
Train Crashworthiness for Europe Railway Vehicle Design and Occupant Protection,http://europa.eu.int/comm/research/growth/gcc/projects/safe-train.html or http://www.safetrain-project.com,SAFETRAIN,[Errno -2] Name or service not known,
Surf and Swash Zone Mechanics,http://www.wldelft.nl/sasme/sasme.htm,SASME,302,https://www.deltares.nl/nl/
Operational modelling for coastal zone management,http://www.pi.shuttle.de/hydromod/projects/OPCOM/OPCOM.html,OPCOM,404,
Scour Around Coastal Structures,http://www.isva.dtu.dk/Scarcost/scarcost.html,SCARCOST,[Errno -2] Name or service not known,
Making seismic reflection profiles available to the wider scientific community,http://www.soc.soton.ac.uk/CHD/seisweb/SEISCAN.html,SEISCAN,301,http://www.noc.soton.ac.uk/CHD/seisweb/SEISCAN.html
Dynamic re-allocation of meshes for parallel finite element applications,http://www.cs.kuleuven.ac.be/cwis/research/natw/DRAMA.html,DRAMA,404,
Parallel crew rostering,http://www.ilog.fr,PARROT,301,http://www-01.ibm.com/software/fr/websphere/
Power line communication ASIC,http://sminchisescu.ins.uni-bonn.de,POLICOM,404,
SEWER TECHNOLOGY FOR EUROPE,http://www.wrcplc.co.uk/rschnet/imug.com,STEAM,404,
CONSOLIDATION OF THE USE OF WALLINGFORD PROCEDURE IN FOUR MEMBER STATES,http://www.hrwallingford.co.uk,WALLINGFORD,302,http://www.hrwallingford.com/
Wider dimension for best practice in engineering and manufacturing,http://ourworld.compuserve.com/homepages/peter_burton,WIDEBEAM,[Errno -2] Name or service not known,
Proposal for an additional WP to the Trans2000 TBP pilot,http://www.circle-era.net/,TRANS2000-AUS,301,http://www.circle-era.eu/np4/home.html
Enhance process modelling system for lean operations management,http://www.epsylon.democenter.it,EPSYLON,403,
Network for development and evaluation of numerically reliable software in control engineering and its implementation in production technologies,http://www.win.tue.nl/niconet/,NICONET,404,
Training Industry in StresS Measurement,http://www.isis.rl.ac.uk/engineering/trainss,,[Errno -2] Name or service not known,
Global Ocean Storage of Anthopogenic Carbon,http://www.ipsl.jussieu.fr/OCMIP,GOSAC,timed out,
Urban and periurban small and medium-sized enterprise development for sustainable vegetable production and marketing systems,http://www.puvep.com,,200,
High Resolution In-Situ Holographic Recording and Analysis of Marine Organisms and Particles,http://www.brunel.ac.uk/~phstprh/holopub/sld001.htm,HOLOMAR,404,
Automated identification and characterization of marine microbial populations,http://www.flowcytometry.org/,AIMS,Server Error,
Prediction of Cohesive Sediment Transport and Bed Morphodynamics in Estuaries and Coastal Zones with Integrated Numerical Simulation Models,http://sun-hydr-01.bwk.kuleuven.ac.be/COSINUS/cosinus.html,COSINUS,404,
Ocean Colour for the Determination of Water Column Biological Processes,http://abyss.iopan.gda.pl/biocolor/,BIOCOLOR,200,
Coastal Study of Three-dimensional Sand Transport Processes and Morphodynamics,http://www.hrwallingford.co.uk/projects/COAST3D/index.html,COAST3D,404,
Characterization and observation of the seafloor with a new multi-beam front-scan sonar system,http://www.ccr.jussieu.fr/cosmos/,COSMOS,404,
Scale dependence of groundwater flow and contaminant transport in fractured rock,http://www.nrsc.no/SCALFRAC/index.html,,[Errno -2] Name or service not known,
Tantalum pentoxide photodeposition on silicon,http://nmrc.ucc.ie/projects/tops,TOPS,404,
Interactive music tuition,http://www.ilsp.gr/mustutor/MusTutor.htm,MUSTUTOR,404,
The characterization of flotation froth structure and colour by machine vision,http://www.hut.fi/HUT/Control/research_projects.html,CHACO,302,http://wwwdown.aalto.fi/www.hut.fi/HUT/Control/research_projects.html
Automated generalisation new technology,http://agent.ign.fr,AGENT,200,
Automatic radiosity simulation for complex and dynamic environments,http://www-imagis.imag.fr/ARCADE/ARCADE.html,ARCADE,[Errno -2] Name or service not known,
Inverse methods for wave propagation applications in time domain,http://www.arttic.com/projects/IMPACT/,IMPACT,404,
Step with intelligence for software engineering,http://www.stepwise.org/,STEPWISE,200,
Methodology and software tools oriented to KBE applications,http://www.kbe.coventry.ac.uk/moka,MOKA,[Errno -2] Name or service not known,
Standards for safety related complex electronic systems,http://www.safetynet.de,STSARCES,302,http://ww5.safetynet.de/
AIT integration platform second phase,http://www.ait.renault.com/,AIT-IP2,[Errno -2] Name or service not known,
Supply chain management in construction industry,http://www.exnorm.com/r&d/summit/,SUMMIT,[Errno -2] Name or service not known,
Campiello - interacting in collaborative environments to promote and sustain the meeting between inhabitants and tourists,http://www.dsi.unimi.it/~campiello,CAMPIELLO,404,
Advanced distributed control system for on-site and on-line support for human operators in industrial plants,http://www.orsiweb.com/ESPRIT/ASSISTANT/index.htm,ASSISTANT,301,http://orsiweb.com/ESPRIT/ASSISTANT/index.htm/
System of integrated tools for the creation of multimedia contents delivered off-line and on-line,http://www.dbai.tuwien.ac.at/sitmoon/,SIT-MOON,200,
Enabling data sharing and business interactivity across the wood sector value by developing a custom set of internet based it tools,http://www.planet.gr/wit,WIT,404,
Management of knowledge using integrated tools for SMEs,http://www.pr-steyr.ac.at/~makeit,MAKE-IT SME,[Errno -2] Name or service not known,
European step centres network,http://www.uninova.pt/~escn,ESCN,404,
Improvement support for total quality management,http://www.btinternet.com/~web.key/impro/IMPRO.html,IMPRO,Server Error,
Concurrent engineering network of excellence,http://esoce.pl.ecp.fr/ce-net,CE-NET,[Errno -2] Name or service not known,
Realistic simulation of light for general environments,http://www-imagis.imag.fr/SIMULGEN/SIMULGEN.html,SIMULGEN,[Errno -2] Name or service not known,
Critical instrumentation and control system,http://borneo.gmd.de/EES/crisys,CRISYS,[Errno -2] Name or service not known,
Example based language translation systems,http://hermes.zeres.de/Eutrans/,EUTRANS,404,
Memory hierarchy analysis and optimization tools for the end user,http://mhaoteu.prism.uvsq.fr/,MHAOTEU,[Errno -2] Name or service not known,
Control and co-ordination of complex distributed services,http://www.newcastle.research.ec.org/c3ds,C3DS,302,http://boise.namedisplay.com/wp-signup.php?new=www.newcastle.research.ec.org
Storage and retrieval by content of imaged documents,http://www.aetnet.it/stretch/index.htm,STRETCH,timed out,
High performance simulation for interactive design,http://www.beasy.com,HIPSID,200,
Joint industrial interface for end-users simulations,http://www.6s.org,JULIUS,200,
Environmental planning and control system for industrial logistic networks,http://www.lis.iao.fhg.de/epsilon/epsilon.htm,EPSILON,[Errno -2] Name or service not known,
Reverse logistics chain optimisation in a multi-user trading environment,http://www.rdm.iao.fhg.de/projekte/reloop/OVERVIEW-de.html,RELOOP,404,
Integration of business functions in manufacturing - a best practice approach,http://lms.mech.upatras.gr/Projects/BEP-IFM/index.htm,BEP-IFM,404,
Information technology for food production,http://www.it4food.is/,IT FOR FOOD,[Errno -2] Name or service not known,
Electron waveguides for quantum-based switching applications,http://www.ftf.lth.se/coop/Qswitch.html,Q-SWITCH,404,
Integrated supervisory control for production plant,http://www.icc.strath.ac.uk/research/incon.htm,IN CONTROL,302,http://www.strath.ac.uk/404/index.html
Rapid and dynamic knowledge access in distributed enterprise environment using mediator agents,http://www.isw.uni-stuttgart.de/runner,RUNNER,404,
VALIDATION OF SELECTIVE LASER SINTERING (SLS) FOR THE MANUFACTURE OF PROTOTYPE MOULDS IN THE TOY INDUSTRY,http://www.aiju.es,TOY SLS,200,
APPLICATION OF SOLID THERMOPLASTIC FILM ADHESIVES FOR THE BONDING FOOTWARE AND LEATHER GOODS,http://www.inescop.es/OBRADOR-ADH747,APLICALAMIADHE,404,
LONG DISTANCE TRANSPORT TECHNOLOGY FOR LIVE CRUSTACEANS,http://www.seafoodireland.com,TLC,301,http://www.redbankfoodco.com/
ADAPTATION AND VALIDATION OF A PLANT MODELING SOFTWARE (AMAP) TO STIMULATE LANDSCAPE CHANGES WITH 3D REALISTIC IMAGES FOR PLANNING,http://www.iaurif.org,IMAGO METROPOLIS,404,
DEVELOPMENT OF A LATEX-BASED TEST FOR A DIAGNOSIS OF TUBERCULOSIS THROUGH DETECTION OF MYCOBACTERIA IN THE URINE,http://www.biomerieux.fr,TMST,200,
COMPUTER AIDED ENVIRONMENTAL MANAGMENT INFORMATION SYSTEMS - NEW ENVIRONMENTAL TOOLS AND STANDARDS,http://www.ucc.ie,CAEMIS-NETS,200,
PROMOTING EUROPEAN INNOVATION CULTURE,http://rrz.uni-hamburg.de/kooperationsstelle-hh,PROINNO,[Errno -5] No address associated with hostname,
PATTERNING BY UV LASER MATERIAL REMOVAL,http://www.lzh.de,PURE,200,
ACOUSTIC RESONANT FREQUENCY TECHNIQUE IN ON-LINE INTEGRITY TESTING OF STRUCTURES,http://www.kuleuven.ac.be,ARTIST,301,http://www.kuleuven.be/kuleuven/crisis
A NEW PROCESS FOR THE EXTRACTION OF HYDROCOLLOIDS,http://www.ericlebas.com,EXTRACTINOV,301,https://www.hugedomains.com/domain_profile.cfm?d=ericlebas&e=com
Selection criteria for information technology systems,http://www.select-it.org.uk,SELECT-IT,[Errno -2] Name or service not known,
SUBSTITUTION PROJECTS FOR HEALTH AND ENVIRONMENT : LESSONS FROM RESULTS AND EXPERIENCES,http://www.bagroep.nl/sphere,SPHERE,404,
TRANSFER OF AN INNOVATIVE ELECTROCHROMIC WINDOW AND DISPLAY TECHNOLOGY TO THE EUROPEAN NTBF AND SME SECTORS,http://www.ucd.ie,NANOCHROME,200,
Fast drying inks for ceramic tiles decoration,http://www.keraben.comh,DRYCER,[Errno -2] Name or service not known,
FACILITATE FUND RAISING OF SMES PARTICIPATING IN COMMUNITY RTD ACTIVITIES,http://www.ipstrategies.be,VENTURE FINANCE,[Errno -2] Name or service not known,
REFRIGERATION EQUIPMENT MATERIALS DATA BANK,http://www.mpa.uni-stuttgart.de,REFMA DB,200,
DEVELOPMENT OF MUTILAYER STRUCTURAL THIN METAL SHEETS WITH CONVENTIONAL WORKABILLITY AND SUPERIOR OVERALL PERFORMANCE,http://popeye.itia.mi.cnr.it/iru/html/db/lo.html,MUSTMET,[Errno -2] Name or service not known,
APPLICATION OF LOW TEMPERATURE COFIRED MULTILAYER CERAMIC TECHNOLOGY AND FLIP-CHIP ASSEMBLY TECHNOLOGY FOR SWITCHING CONVERTERS,http://www2.vol.at/tridonic/,AMFAS,timed out,
Design for Structural Safety under Extreme Loads,http://research.germanlloyd.de/Projects/DEXTREMEL/index.html,DEXTREMEL,404,
Mechatronic technologies for trains of the future,http://www.lboro.ac.uk/departments/el/research/scg/mechatronicpro/,MECHATRONIC TRAIN,404,
Improved Machinery Performance using Active Control Technology,http://www.mesym.maschinenbau.tu-darmstadt.de/f_impact.htm,IMPACT,[Errno -2] Name or service not known,
Design of human / machine interfaces and their validation in aeronautics,http://www-eurisco.onecert.fr/Diva/,,[Errno -2] Name or service not known,
The Science and Technology of Long Chain Branching in Polyolefins and their Process Control,http://www.irc.leeds.ac.uk/LCB_Brite/index.html,LCB POLYOLEFINS,404,
Shallow wetland lake functioning and restoration in a changing European environment,http://swale.sbs.liv.ac.uk/index.html,,[Errno -2] Name or service not known,
